dataset,task,model,capability,relation,total_tests,failed_tests,failure_rate,mean_confidence,mean_AM,mean_CS,mean_EVFS,mean_cue_attribution_ratio,main_failure_reason
mnli,nli,bert,contradiction,directional,4,4,1.0,0.9934102147817612,0.8323438382527023,0.002105816332914401,0.8307210903287906,0.16765616174729772,"Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.82, CS=0.00; top tokens: guitar:0.26, person:0.22, no:0.18, playing:0.16, is:0.11."
snli,nli,bert,contradiction,directional,4,4,1.0,0.9934101849794388,0.8323438382527023,0.0021058164347778074,0.830721090052901,0.16765616174729772,"Contradiction failure: model likely underweighted contradiction markers such as not/no/nobody; AM=0.82, CS=0.00; top tokens: guitar:0.26, person:0.22, no:0.18, playing:0.16, is:0.11."
mrpc,paraphrase,bert,word_order_sensitivity,directional,3,3,1.0,0.9876020948092142,0.7528865447552638,0.0006769640992085139,0.7523969852806408,0.24711345524473607,"Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.78, CS=0.00; top tokens: dog:0.23, cat:0.22, chase:0.22, can:0.17, a:0.16."
mrpc,paraphrase,roberta,word_order_sensitivity,directional,3,3,1.0,0.9973020950953165,0.747353537830528,0.00012398286101718745,0.7472593806633991,0.25264646216947195,"Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.69, CS=0.00; top tokens: chase:0.31, cat:0.19, dog:0.18, can:0.16, a:0.15."
snli,nli,roberta,lexical_overlap,directional,4,4,1.0,0.9877165257930756,0.7479331406544841,0.0022449932293966413,0.7462561956075823,0.25206685934551587,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.70, CS=0.00; top tokens: chasing:0.30, dog:0.27, a:0.17, man:0.16, is:0.10."
mnli,nli,roberta,lexical_overlap,directional,4,4,1.0,0.9877165853977203,0.7479331406544841,0.0022449965472333133,0.7462561929916688,0.25206685934551587,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.70, CS=0.00; top tokens: chasing:0.30, dog:0.27, a:0.17, man:0.16, is:0.10."
mrpc,paraphrase,distilbert,word_order_sensitivity,directional,3,3,1.0,0.8701658447583517,0.7436611224931194,0.005072332918643951,0.7398680019461595,0.25633887750688067,"Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.70, CS=0.00; top tokens: chase:0.30, can:0.21, a:0.18, dog:0.16, cat:0.14."
qqp,paraphrase,distilbert,word_order_sensitivity,directional,3,3,1.0,0.8464544812838236,0.7497619010506478,0.013817843049764633,0.7392638216706602,0.2502380989493523,"Word-order sensitivity failure: model likely over-relied on overlapping terms and missed role/order reversal; AM=0.78, CS=0.01; top tokens: a:0.22, chase:0.22, cat:0.21, can:0.18, dog:0.17."
mnli,nli,distilbert,lexical_overlap,directional,4,4,1.0,0.9912641197443008,0.7196479074950031,0.001204240950755775,0.7187510286021719,0.28035209250499693,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.66, CS=0.00; top tokens: chasing:0.34, dog:0.23, a:0.16, man:0.16, is:0.11."
snli,nli,distilbert,lexical_overlap,directional,4,4,1.0,0.9912641197443008,0.7196479074950031,0.0012042416201438755,0.7187510280971545,0.28035209250499693,"Lexical-overlap failure: model likely over-relied on shared words rather than semantic roles/logical relation; AM=0.66, CS=0.00; top tokens: chasing:0.34, dog:0.23, a:0.16, man:0.16, is:0.11."
