dataset,model,checkpoint,status,rows,failed
sst2,distilbert,distilbert-base-uncased-finetuned-sst-2-english,success,328,23
sst2,bert,textattack/bert-base-uncased-SST-2,success,328,16
sst2,roberta,textattack/roberta-base-SST-2,success,328,13
imdb,distilbert,lvwerra/distilbert-imdb,success,328,59
imdb,bert,textattack/bert-base-uncased-imdb,success,328,36
imdb,roberta,textattack/roberta-base-imdb,success,328,28
mnli,distilbert,typeform/distilbert-base-uncased-mnli,success,308,48
mnli,bert,textattack/bert-base-uncased-MNLI,success,308,284
mnli,roberta,roberta-large-mnli,success,308,33
snli,distilbert,typeform/distilbert-base-uncased-mnli,success,308,75
snli,bert,textattack/bert-base-uncased-MNLI,success,308,282
snli,roberta,roberta-large-mnli,success,308,39
qqp,distilbert,textattack/distilbert-base-uncased-QQP,success,307,150
qqp,bert,textattack/bert-base-uncased-QQP,success,307,26
mrpc,distilbert,textattack/distilbert-base-uncased-MRPC,success,307,43
mrpc,bert,textattack/bert-base-uncased-MRPC,success,307,39
mrpc,roberta,textattack/roberta-base-MRPC,success,307,28
